name,url,target_url,platform,region,source_type,login_required,robots,server_rendered,js_only,recent_event,upcoming_count,date_quality,time_quality,venue_quality,fee_quality,parser_ease,stability,score,decision,reason,notes,applied_status,source_id,validated_at,live_decision
TangoNOW,https://ktnow.kr/,https://firestore.googleapis.com/v1/projects/ktangoguide/databases/(default)/documents/events?pageSize=300,Firebase/Firestore,전국,COMMUNITY,NO,NONE_API_PARTIAL_APP,NO,YES,YES,40,5,5,4,2,4,3,38,ADD_NOW,PUBLIC_API_AVAILABLE,PA5 RA5 UC5; Firestore robots NONE and app robots PARTIAL; list+document API; 3639 docs/77 variable batches; 122 recently created or updated; IMAGE_HEAVY=YES; duplicate HIGH with Tangodori/Miltang; primary registry,ALREADY_REGISTERED,SRC-W-002,2026-09-06,ENABLED
Tango Calendar Korea,https://tangocalendar.kr/,https://tangocalendar.kr/api/events,Independent API,서울 중심/일부 전국,DIRECTORY,NO,ALLOW,NO,YES,YES,27,5,5,5,5,5,4,44,ADD_NOW,PUBLIC_API_AVAILABLE,PA5 RA5 UC5; unpaged JSON list and /api/events/{uuid}; 746 base records; 719 past at cutoff; HTML shell but API complete,ALREADY_REGISTERED,SRC-W-003,2026-09-06,ENABLED
DanceInfo,https://danceinfo.net/,https://danceinfo.net/lessons?date=2026-09-12&genre=all&category=all&location=all,Independent web,전국,DIRECTORY,NO,PARTIAL,YES,NO,YES,6+,5,5,5,5,4,4,42,ADD_NOW,PUBLIC_HTML_AVAILABLE,PA5 RA5 UC4; detail /lessons/{id}; mixed genre must filter; /api blocked by robots; IMAGE_HEAVY=YES but text complete,ALREADY_REGISTERED,SRC-W-004,2026-09-06,ENABLED
Miltang,https://www.miltang.com/,https://www.miltang.com/milongas?week=2026-08-31&date=2026-09-05,Independent web,전국,COMMUNITY,NO,PARTIAL,YES,NO,YES,11,5,5,5,2,4,4,40,ADD_NOW,PUBLIC_HTML_AVAILABLE,PA5 RA5 UC5; detail /milongas/{id}; week/date/region filters; fee often absent; medium-high TangoNOW duplication,ALREADY_REGISTERED,SRC-W-005,2026-09-06,ENABLED
Tangodori Seoul,https://tangodori.com/,https://tangodori.com/ko/seoul-milongas,Tangodori,서울,DIRECTORY,NO,PARTIAL,YES,NO,YES,20+,5,5,5,1,5,4,40,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC5; detail /ko/events/{id}; checked details cite ktnow.kr; no visible pagination,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Busan,https://tangodori.com/,https://tangodori.com/ko/busan-milongas,Tangodori,부산,DIRECTORY,NO,PARTIAL,YES,NO,YES,18,5,5,5,1,5,4,40,ADD_NOW,SECONDARY_SOURCE,same source family as Tangodori Seoul; 18 events in next two weeks; do not count independently,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Daejeon,https://tangodori.com/,https://tangodori.com/ko/daejeon-milongas,Tangodori,대전,DIRECTORY,NO,PARTIAL,YES,NO,YES,11,5,5,5,1,5,4,39,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC4; current events include First Saturday/Udongmil/LAVISTA/Azucar; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Daegu,https://tangodori.com/,https://tangodori.com/ko/daegu-milongas,Tangodori,대구,DIRECTORY,NO,PARTIAL,YES,NO,YES,6,5,5,5,1,5,4,38,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC3; six events in next two weeks; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Gwangju,https://tangodori.com/,https://tangodori.com/ko/gwangju-milongas,Tangodori,광주,DIRECTORY,NO,PARTIAL,YES,NO,YES,3,5,5,5,1,5,4,37,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC2; SUNCONMIL/CON/Friday Vida; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Seongnam,https://tangodori.com/,https://tangodori.com/ko/seongnam-milongas,Tangodori,경기 성남,DIRECTORY,NO,PARTIAL,YES,NO,YES,1,5,5,5,1,5,4,36,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC1; Lovely Milonga anniversary; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Cheongju,https://tangodori.com/,https://tangodori.com/ko/cheongju-milongas,Tangodori,충북 청주,DIRECTORY,NO,PARTIAL,YES,NO,YES,1,5,5,5,1,5,4,36,ADD_NOW,SECONDARY_SOURCE,PA5 RA5 UC1; Milonga La Plata; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
Tangodori Jeju,https://tangodori.com/,https://tangodori.com/ko/jeju-milongas,Tangodori,제주,DIRECTORY,NO,PARTIAL,YES,NO,NO,0,5,5,5,1,5,4,30,MONITOR,NO_RECENT_EVENTS,PA5 RA0 UC0; zero next-two-week results; parser technically usable; same source family,REJECTED_TERMS,,2026-09-06,TERMS_PROHIBIT_SCRAPING
2026 Chuncheon International Tango Festival,https://kcctf.org/,https://kcctf.org/ko,Official website,강원 춘천,FESTIVAL,NO,ALLOW,YES,NO,YES,6,5,5,5,5,4,5,43,ADD_NOW,OFFICIAL_PRIMARY,PA5 RA5 UC4; six program sessions; ticket/venue/time all present; annual rather than continuous,VALIDATED_NOT_IMPLEMENTED,,2026-09-06,ROBOTS_ALLOW_TERMS_OK_PARSER_DEFERRED
Cafe de Tango Daum Cafe,https://cafe.daum.net/cafedetango,https://cafe.daum.net/_c21_/home?grpid=1Huyc,Daum Cafe,부산,OFFICIAL_VENUE,PARTIAL,PARTIAL,PARTIAL,NO,YES,2,3,1,3,1,2,4,23,MONITOR,LOGIN_REQUIRED,PA2 RA5 UC2; home exposes current titles but bbs_read requires login/grade; board fldid=6KLn; no bypass,NOT_APPLIED,,,MONITOR
Tango Amigo Daum Cafe,https://cafe.daum.net/amigostudio,https://cafe.daum.net/_c21_/home?grpid=1ZUn3,Daum Cafe,부산,OFFICIAL_VENUE,PARTIAL,PARTIAL,PARTIAL,NO,YES,UNKNOWN,2,1,2,0,2,4,18,MONITOR,LOGIN_REQUIRED,PA2 RA4 UC1; public home activity but event detail inaccessible; no cookie/session bypass,NOT_APPLIED,,,MONITOR
Korea Tango Cooperative,https://koreatango.co.kr/,https://koreatango.co.kr/,Official website/Imweb,전국/서울,ORGANIZER,NO,PARTIAL,YES,NO,NO,0,5,2,3,1,4,5,27,ADD_LATER,NO_RECENT_EVENTS,PA5 RA2 UC0; stable official notice board; latest verified 2026-06-07 championship result,NOT_APPLIED,,,ADD_LATER
TangoLife Association,https://tangolife.co.kr/,https://tangolife.co.kr/elementor-145/,WordPress official,전국,ORGANIZER,YES,ALLOW,YES,NO,NO,0,1,0,0,0,3,4,13,REJECT,NO_EVENT_DATA;PRIVATE_COMMUNITY,PA4 RA1 UC0; member board requires login; public pages have no event announcements,NOT_APPLIED,,,REJECT
DCInside Argentine Tango Gallery,https://gall.dcinside.com/mgallery/board/lists/?id=tangokorea,https://gall.dcinside.com/mgallery/board/lists/?id=tangokorea,DCInside,전국,COMMUNITY,NO,PARTIAL,YES,NO,NO,0,1,1,1,0,2,3,19,MONITOR,NO_EVENT_DATA,PA5 RA5 UC1; active board at cutoff but mostly discussion/reviews; low structured event signal,NOT_APPLIED,,,MONITOR
Nova Tango Naver Cafe,https://cafe.naver.com/novatango,https://cafe.naver.com/novatango,Naver Cafe,서울/EN PAZ,CAFE,UNKNOWN,BLOCKED,YES,NO,UNKNOWN,UNKNOWN,1,1,1,0,0,3,6,REJECT,ROBOTS_BLOCKED,PA0 RA0 UC0; generic User-agent is Disallow /; do not crawl,NOT_APPLIED,,,REJECT
